Order ID,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Base Price per Unit
CA-2019-111682,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,62.46
CA-2020-144904,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,488.65,3,0.1,133.93
CA-2020-157252,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,207.85,3,0.1,68.51
US-2019-150861,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",542.65,3,0.1,146.72
CA-2020-111689,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1242.9,5,0.1,196.1
CA-2020-159366,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.98,2,0.1,1189.99
CA-2019-144939,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,599.29,6,0.1,84.34
CA-2020-115602,FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1141.94,9,0.1,111.37
CA-2019-136329,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,408.01,2,0.1,167.74
CA-2020-166436,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,977.29,6,0.1,133.93
US-2020-111423,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,462.56,2,0.1,182.46
CA-2020-157987,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,1282.41,5,0.1,213.74
CA-2019-128818,FUR-CH-10002084,Furniture,Chairs,Hon Mobius Operator's Chair,442.76,4,0.1,95.93
CA-2019-162313,OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,167.29,6,0.1,22.93
CA-2020-108441,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,858.24,4,0.1,178.8
CA-2020-127026,TEC-MA-10002981,Technology,Machines,I.R.I.S IRISCard Anywhere 5 Card Scanner,350.97,3,0.1,66.29
CA-2020-123638,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",191.65,3,0.1,53.24
CA-2020-169978,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,271.76,2,0.1,111.73
CA-2019-133340,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",61.93,1,0.1,38.53
CA-2020-141733,OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,87.44,2,0.1,34.49
CA-2020-136350,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,172.76,2,0.1,70.07
CA-2019-120355,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,631.78,2,0.1,245.69
CA-2019-118759,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,408.01,2,0.1,167.74
CA-2019-143910,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",145.76,2,0.1,76.93
CA-2019-139556,FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,434.65,3,0.1,123.95
CA-2019-133550,OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,283.14,4,0.1,52.7
CA-2019-120530,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",658.75,3,0.1,170.79
CA-2019-111213,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1317.49,6,0.1,170.79
CA-2020-164378,FUR-CH-10002084,Furniture,Chairs,Hon Mobius Operator's Chair,664.15,6,0.1,95.93
CA-2020-161067,FUR-CH-10004626,Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,90.8,1,0.1,76.68
CA-2020-161067,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,181.76,2,0.1,94.92
CA-2020-100111,FUR-CH-10003846,Furniture,Chairs,Hon Valutask Swivel Chairs,272.65,3,0.1,84.82
CA-2020-100111,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",80.99,1,0.1,72.89
CA-2020-100111,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2888.13,11,0.1,207.13
CA-2020-100111,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,2254.41,5,0.1,375.74
CA-2019-124100,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",328,6,0.1,45.56
CA-2020-143112,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",221.38,2,0.1,109.46
CA-2019-162943,FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,253.76,2,0.1,111.37
CA-2019-116526,OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",376.74,4,0.1,76.39
CA-2019-145548,FUR-CH-10003774,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",245.65,3,0.1,79.15
US-2020-168613,FUR-CH-10002372,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,145.76,2,0.1,71.26
CA-2019-110975,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,866.65,3,0.1,231.11
CA-2020-166184,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,207.85,3,0.1,68.51
CA-2019-169670,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,2563.06,8,0.1,281.22
US-2019-140172,OFF-AP-10004233,Office Supplies,Appliances,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,207.14,3,0.1,52.94
CA-2020-122308,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",271.76,2,0.1,105.69
US-2020-108343,FUR-CH-10002780,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,163.76,2,0.1,69.14
CA-2020-102925,FUR-CH-10004875,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,128.12,2,0.1,51.96
CA-2019-116596,FUR-CH-10000553,Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",427.64,14,0.1,24.78
CA-2020-152975,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",589.41,5,0.1,119.19
CA-2019-105781,FUR-CH-10001802,Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,326.65,3,0.1,95.57
CA-2019-122581,FUR-CH-10002961,Furniture,Chairs,"Leather Task Chair, Black",573.17,7,0.1,72.78
